,Sentence
0,"Der Raum stellt gar keine Eigenschaft irgend einiger Dinge an sich,
oder sie in ihrem Verhältnis aufeinander vor, d.i.# keine Bestimmung
derselben, die an Gegenständen selbst haftete, und welche bliebe,
wenn man auch von allen subjektiven Bedingungen der Anschauung
abstrahierte."
1,"Denn weder absolute, noch relative Bestimmungen können
vor dem Dasein der Dinge, welchen sie zukommen, mithin nicht a priori
angeschaut werden."
2,"Der Raum ist nichts anderes, als nur die Form aller Erscheinungen
äußerer Sinne, d.i.# die subjektive Bedingung der Sinnlichkeit,
unter der allein uns äußere Anschauung möglich ist."
3,"Weil nun die
Rezeptivität des Subjekts, von Gegenständen affiziert zu werden,
notwendigerweise vor allen Anschauungen dieser Objekte vorhergeht,
so läßt sich verstehen, wie die Form aller Erscheinungen vor allen
wirklichen Wahrnehmungen, mithin a priori im Gemüte gegeben sein
könne, und wie sie als eine reine Anschauung, in der alle Gegenstände
bestimmt werden müssen, Prinzipien der Verhältnisse derselben vor
aller Erfahrung enthalten könne."
4,"Wir können demnach nur aus dem Standpunkte eines Menschen, vom Raum,
von ausgedehnten Wesen usw. reden."
5,"Gehen wir von der subjektiven
Bedingung ab, unter welcher wir allein äußere Anschauung bekommen
können, so wie wir nämlich von den Gegenständen affiziert werden
mögen, so bedeutet die Vorstellung vom Raume gar nichts."
6,"Dieses
Prädikat wird den Dingen nur insofern beigelegt, als sie uns
erscheinen, d.i.# Gegenstände der Sinnlichkeit sind."
7,"Die beständige
Form dieser Rezeptivität, welche wir Sinnlichkeit nennen, ist eine
notwendige Bedingung aller Verhältnisse, darinnen Gegenstände als
außer uns angeschaut werden, und, wenn man von diesen Gegenständen
abstrahiert, eine reine Anschauung, welche den Namen Raum führt."
8,"Weil
wir die besonderen Bedingungen der Sinnlichkeit nicht zu Bedingungen
der Möglichkeit der Sachen, sondern nur ihrer Erscheinungen machen
können, so können wir wohl sagen, daß der Raum alle Dinge befasse, die
uns äußerlich erscheinen mögen, aber nicht alle Dinge an sich selbst,
sie mögen nun angeschaut werden oder nicht, oder auch von welchem
Subjekt man wolle."
9,"Denn wir können von den Anschauungen anderer
denkenden Wesen gar nicht urteilen, ob sie an die nämlichen
Bedingungen gebunden seien, welche unsere Anschauung einschränken
und für uns allgemein gültig sind."
10,"Wenn wir die Einschränkung eines
Urteils zum Begriff des Subjekts hinzufügen, so gilt das Urteil
alsdann unbedingt."
11,"Der Satz: Alle Dinge sind nebeneinander im Raum,
gilt unter der Einschränkung, wenn diese Dinge als Gegenstände unserer
sinnlichen Anschauung genommen werden."
12,"Füge ich hier die Bedingung
zum Begriffe, und sage: Alle Dinge, als äußere Erscheinungen, sind
nebeneinander im Raum, so gilt diese Regel allgemein und ohne
Einschränkung."
13,"Unsere Erörterungen lehren demnach l die Realität (d.i.#
die objektive Gültigkeit) des Raumes in Ansehung alles dessen, was
äußerlich als Gegenstand uns vorkommen kann, aber zugleich die
Idealität des Raumes in Ansehung der Dinge, wenn sie durch die
Vernunft an sich selbst erwogen werden, d.i.# ohne Rücksicht auf die
Beschaffenheit unserer Sinnlichkeit zu nehmen."
14,"Wir behaupten also die
empirische Realität des Raumes (in Ansehung aller möglichen äußeren
Erfahrung), ob zwar zugleich die transzendentale Idealität desselben,
d.i.# daß er nichts sei, sobald wir die Bedingung der Möglichkeit aller
Erfahrung weglassen, und ihn als etwas, was den Dingen an sich selbst
zum Grunde liegt, annehmen."
15,"Es gibt aber auch außer dem Raum keine andere subjektive und auf etwas
Äußeres bezogene Vorstellung, die a priori objektiv heißen könnte."
16,"Denn man kann von keiner derselben synthetische Sätze a priori, wie
von der Anschauung im Raume, herleiten § 3."
17,"Daher ihnen, genau zu
reden, gar keine Idealität zukommt, ob sie gleich darin mit der
Vorstellung des Raumes übereinkommen, daß sie bloß zur subjektiven
Beschaffenheit der Sinnesart gehören, z.B. des Gesichts, Gehörs,
Gefühls, durch die Empfindungen der Farben, Töne und Wärme, die aber,
weil sie bloß Empfindungen und nicht Anschauungen sind, an sich kein
Objekt, am wenigsten a priori, erkennen lassen."
18,"Die Absicht dieser Anmerkung geht nur dahin: zu verhüten, daß man die
behauptete Idealität des Raumes nicht durch bei weitem unzulängliche
Beispiele zu erläutern sich einfallen lasse, da nämlich etwa Farben,
Geschmack usw. mit Recht nicht als Beschaffenheiten der Dinge, sondern
bloß als Veränderungen unseres Subjekts, die sogar bei verschiedenen
Menschen verschieden sein können, betrachtet werden."
19,"Denn in diesem
Falle gilt das, was ursprünglich selbst nur Erscheinung ist, z.B. eine
Rose, im empirischen Verstande für ein Ding an sich selbst, welches
doch jedem Auge in Ansehung der Farbe anders erscheinen kann."
20,"Dagegen
ist der transzendentale Begriff der Erscheinungen im Raume eine
kritische Erinnerung, daß überhaupt nichts, was im Raume angeschaut
wird, eine Sache an sich, noch daß der Raum eine Form der Dinge
sei, die ihnen etwa an sich selbst eigen wäre, sondern daß uns die
Gegenstände an sich gar nicht bekannt sind, und, was wir äußere
Gegenstände nennen, nichts anderes als bloße Vorstellungen unserer
Sinnlichkeit sind, deren Form der Raum ist, deren wahres Korrelatum
aber, d.i.# das Ding an sich selbst, dadurch gar nicht erkannt wird,
noch erkannt werden kann, nach welchem aber auch in der Erfahrung
niemals gefragt wird."
21,"Die Zeit ist nicht etwas, was für sich selbst bestünde, oder den
Dingen als objektive Bestimmung anhinge, mithin übrig bliebe, wenn
man von allen subjektiven Bedingungen der Anschauung derselben
abstrahiert; denn im ersten Fall würde sie etwas sein, was ohne
wirklichen Gegenstand dennoch wirklich wäre."
22,"Was aber das zweite
betrifft, so könnte sie als eine den Dingen selbst anhängende
Bestimmung oder Ordnung nicht vor den Gegenständen als ihre Bedingung
vorhergehen, und a priori durch synthetische Sätze erkannt und
angeschaut werden."
23,"Diese letztere findet dagegen sehr wohl statt,
wenn die Zeit nichts als die subjektive Bedingung ist, unter der alle
Anschauungen in uns stattfinden können."
24,"Denn da kann diese Form der
inneren Anschauung vor den Gegenständen, mithin a priori, vorgestellt
werden."
25,"Die Zeit ist nichts anderes, als die Form des inneren Sinnes, d.i.#
des Anschauens unserer selbst und unseres inneren Zustandes."
26,"Denn die
Zeit kann keine Bestimmung äußerer Erscheinungen sein; sie gehört
weder zu einer Gestalt, oder Lage usw., dagegen bestimmt sie das
Verhältnis der Vorstellungen in unserem inneren Zustande."
27,"Und, eben
weil diese innere Anschauung keine Gestalt gibt, suchen wir auch
diesen Mangel durch Analogien zu ersetzen, und stellen die Zeitfolge
durch eine ins Unendliche fortgehende Linie vor, in welcher das
Mannigfaltige eine Reihe ausmacht, die nur von einer Dimension
ist, und schließen aus den Eigenschaften dieser Linie auf alle
Eigenschaften der Zeit, außer dem einigen, daß die Teile der ersteren
zugleich, die der letzteren aber jederzeit nacheinander sind."
28,"Hieraus
erhellt auch, daß die Vorstellung der Zeit selbst Anschauung sei, weil
alle ihre Verhältnisse sich an einer äußeren Anschauung ausdrücken
lassen."
29,"Die Zeit ist die formale Bedingung a priori aller Erscheinungen
überhaupt."
30,"Der Raum, als die reine Form aller äußeren Anschauung ist
als Bedingung a priori bloß auf äußere Erscheinungen eingeschränkt."
31,"Dagegen, weil alle Vorstellungen, sie mögen nun äußere Dinge zum
Gegenstande haben, oder nicht, doch an sich selbst, als Bestimmungen
des Gemüts, zum inneren Zustande gehören, dieser innere Zustand aber,
unter der formalen Bedingung der inneren Anschauung, mithin der Zeit
gehört, so ist die Zeit eine Bedingung a priori von aller Erscheinung
überhaupt, und zwar die unmittelbare Bedingung der inneren (unserer
Seelen) und eben dadurch mittelbar auch der äußeren Erscheinungen."
32,"Wenn ich a priori sagen kann: alle äußeren Erscheinungen sind im
Raume, und nach den Verhältnissen des Raumes a priori bestimmt, so
kann ich aus dem Prinzip des inneren Sinnes ganz allgemein sagen: alle
Erscheinungen überhaupt, d.i.# alle Gegenstände der Sinne, sind in der
Zeit, und stehen notwendigerweise in Verhältnissen der Zeit."
33,"Wenn wir von unserer Art, uns selbst innerlich anzuschauen, und
vermittelst dieser Anschauung auch alle äußeren Anschauungen in
der Vorstellungskraft zu befassen, abstrahieren, und mithin die
Gegenstände nehmen, so wie sie an sich selbst sein mögen, so ist die
Zeit nichts."
34,"Sie ist nur von objektiver Gültigkeit in Ansehung der
Erscheinungen, weil dieses schon Dinge sind, die wir als Gegenstände
unserer Sinne annehmen; aber sie ist nicht mehr objektiv, wenn
man von der Sinnlichkeit unserer Anschauung, mithin derjenigen
Vorstellungsart, welche uns eigentümlich ist, abstrahiert, und von
Dingen überhaupt redet."
35,"Die Zeit ist also lediglich eine subjektive
Bedingung unserer (menschlichen) Anschauung, (welche jederzeit
sinnlich ist, d.i.# sofern wir von Gegenständen affiziert werden,) und
an sich, außer dem Subjekte, nichts."
36,"Nichtsdestoweniger ist sie in
Ansehung aller Erscheinungen, mithin auch aller Dinge, die uns in der
Erfahrung vorkommen können, notwendigerweise objektiv."
37,"Wir können
nicht sagen: alle Dinge sind in der Zeit, weil bei dem Begriff der
Dinge überhaupt von aller Art der Anschauung derselben abstrahiert
wird, diese aber die eigentliche Bedingung ist, unter der die Zeit in
die Vorstellung der Gegenstände gehört."
38,"Wird nun die Bedingung zum
Begriffe hinzugefügt, und es heißt: alle Dinge, als Erscheinungen
(Gegenstände der sinnlichen Anschauung), sind in der Zeit, so hat der
Grundsatz seine gute objektive Richtigkeit und Allgemeinheit a priori."
39,"Unsere Behauptungen lehren demnach empirische Realität der Zeit, d.i.#
objektive Gültigkeit in Ansehung aller Gegenstände, die jemals unseren
Sinnen gegeben werden mögen."
40,"Und da unsere Anschauung jederzeit
sinnlich ist, so kann uns in der Erfahrung niemals ein Gegenstand
gegeben werden, der nicht unter die Bedingung der Zeit gehörte."
41,"Dagegen bestreiten wir der Zeit allen Anspruch auf absolute Realität,
da sie nämlich, auch ohne auf die Form unserer sinnlichen Anschauung
Rücksicht zu nehmen, schlechthin den Dingen als Bedingung oder
Eigenschaft anhinge."
42,"Solche Eigenschaften, die den Dingen an sich
zukommen, können uns durch die Sinne auch niemals gegeben werden."
43,"Hierin besteht also die transzendentale Idealität der Zeit, nach
welcher sie, wenn man von den subjektiven Bedingungen der sinnlichen
Anschauung abstrahiert, gar nichts ist, und den Gegenständen an
sich selbst (ohne ihr Verhältnis auf unsere Anschauung,) weder
subsistierend noch inhärierend beigezählt werden kann."
44,"Doch ist diese
Idealität, ebensowenig wie die des Raumes, mit den Subreptionen der
Empfindung in Vergleichung zu stellen, weil man doch dabei von der
Erscheinung selbst, der diese Prädikate inhärieren, voraussetzt,
daß sie objektive Realität habe, die hier gänzlich wegfällt, außer,
sofern sie bloß empirisch ist, d.i.# den Gegenstand selbst bloß als
Erscheinung ansieht: wovon die obige Anmerkung des ersteren Abschnitts
nachzusehen ist."
